62396 | 32007 | SYN | 99 | 1669100664.715188
32007 | 62396 | SYNACK | 99 | 1669100667.7211149
62396 | 32007 | ACK | 99 | 1669100667.721316
62396 | 55754 | DATA | 103 | 1669100671.722734
55754 | 62396 | DATA | 103 | 1669100673.7281642
62396 | 55754 | DATA | 103 | 1669100673.728172
55754 | 62396 | DATA | 103 | 1669100675.7334442
62396 | 55754 | DATA | 103 | 1669100675.733452
55754 | 62396 | DATA | 103 | 1669100677.7387571
62396 | 55754 | DATA | 103 | 1669100677.738765
55754 | 62396 | DATA | 103 | 1669100679.743563
62396 | 55754 | DATA | 103 | 1669100679.7435799
55754 | 62396 | DATA | 103 | 1669100681.749804
62396 | 55754 | DATA | 103 | 1669100681.749812
55754 | 62396 | DATA | 103 | 1669100683.755062
62396 | 55754 | DATA | 103 | 1669100683.75507
55754 | 62396 | DATA | 103 | 1669100685.759271
62396 | 55754 | DATA | 103 | 1669100685.759278
55754 | 62396 | DATA | 103 | 1669100687.7645319
62396 | 55754 | DATA | 103 | 1669100687.7645419
55754 | 62396 | DATA | 103 | 1669100689.769942
62396 | 55754 | DATA | 103 | 1669100689.769949
55754 | 62396 | DATA | 103 | 1669100691.775224
62396 | 55754 | DATA | 103 | 1669100691.775232
55754 | 62396 | DATA | 103 | 1669100693.780543
62396 | 55754 | DATA | 103 | 1669100693.780556
55754 | 62396 | DATA | 103 | 1669100695.78581
62396 | 55754 | DATA | 103 | 1669100695.7858188
55754 | 62396 | DATA | 103 | 1669100697.791101
62396 | 55754 | DATA | 103 | 1669100697.791111
55754 | 62396 | DATA | 103 | 1669100699.79653
62396 | 55754 | DATA | 103 | 1669100699.796545
55754 | 62396 | DATA | 103 | 1669100701.8019369
62396 | 55754 | DATA | 103 | 1669100701.801954
55754 | 62396 | DATA | 103 | 1669100703.807186
62396 | 55754 | DATA | 103 | 1669100703.807193
55754 | 62396 | DATA | 103 | 1669100705.812454
62396 | 55754 | DATA | 103 | 1669100705.8124642
55754 | 62396 | DATA | 103 | 1669100707.817852
62396 | 55754 | DATA | 103 | 1669100707.817863
55754 | 62396 | DATA | 103 | 1669100709.823188
62396 | 55754 | DATA | 103 | 1669100709.823209
55754 | 62396 | DATA | 103 | 1669100711.828727
62396 | 55754 | DATA | 103 | 1669100711.8287349
55754 | 62396 | DATA | 103 | 1669100713.833982
62396 | 55754 | DATA | 103 | 1669100713.833994
55754 | 62396 | DATA | 103 | 1669100715.8392801
62396 | 55754 | DATA | 103 | 1669100715.8392909
55754 | 62396 | DATA | 103 | 1669100717.844671
62396 | 55754 | DATA | 103 | 1669100717.844682
55754 | 62396 | DATA | 103 | 1669100719.85004
62396 | 55754 | DATA | 103 | 1669100719.85005
55754 | 62396 | DATA | 103 | 1669100721.855298
62396 | 55754 | DATA | 103 | 1669100721.855308
55754 | 62396 | DATA | 103 | 1669100723.8606532
62396 | 55754 | DATA | 103 | 1669100723.86066
55754 | 62396 | DATA | 103 | 1669100725.8659132
62396 | 55754 | DATA | 103 | 1669100725.865921
62396 | 55754 | FIN | 99 | 1669100726.8079119
55754 | 62396 | ACK | 99 | 1669100726.808259
